recipe name,Category,Description,Instructions,Grocery Items,Grocery Quantities,Grocery Types,Total Time,Serving Size,Fused Grocery,Total Calories,Total Protein,Total Fat,Total Carbs,Total Cost
Jewish Coffee Cake,dessert,A moist sour cream coffee cake. This is a great recipe from an old friend.,"Preheat oven to 350 degrees F (175 degrees C). Grease and flour a 9x9 inch pan. Combine the flour, baking soda and baking powder; set aside.
In a medium bowl, cream together the sugar, butter and eggs until smooth. Add the flour mixture and beat until smooth. Finally, stir in the sour cream and vanilla. In a separate bowl, combine the nuts, confectioners' sugar and cinnamon.
Spread half of the batter into the 9x9 inch pan. Sprinkle a layer of the nut mixture, then spread the remaining batter and top with the rest of the nut mixture. Spread the melted butter over the top.
Bake for 1 hour in the preheated oven, until cake springs back to the touch.","butter
white sugar
eggs
all-purpose flour
baking soda
baking powder
sour cream
vanilla extract
chopped walnuts
confectioners' sugar
ground cinnamon
butter","[0.5, 1.0, 2.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.5, 2.0, 2.0]","cup
cup

cup
teaspoon
teaspoon
cup
teaspoon
cup
cup
teaspoon
tablespoon",,12.0,"cup of butter
cup of white sugar
of eggs
cup of all-purpose flour
teaspoon of baking soda
teaspoon of baking powder
cup of sour cream
teaspoon of vanilla extract
cup of chopped walnuts
cup of confectioners' sugar
teaspoon of ground cinnamon
tablespoon of butter",4281.0,51.65,228.0,498.1,5.03
Eggless Date Cake,dessert,"A recipe I started making for my Muslim friends for when they celebrate Eid, and I was able to share with my Sikh grandmother who is vegetarian and doesn't eat eggs. I got the original recipe from an Indian cooking blog, but modified it to the recipe I currently use below. Now it's my most requested cake no matter what the occasion! Delicious on its own, with a cup of tea, or warmed up and topped with vanilla ice cream!","Heat milk in a saucepan until almost boiling and stir in dates; let soak for several hours, refrigerated. For best flavor, refrigerate dates and milk overnight.
Preheat oven to 350 degrees F (175 degrees C). Grease a medium loaf pan.
Transfer milk and dates to food processor, add brown sugar, and process into a smooth paste. Mix in vegetable oil and vanilla extract with a few pulses.
Whisk flour, baking soda, and cinnamon in a bowl until thoroughly combined. Pulse flour mixture, about 1/4 cup at a time, into the date paste until batter is smooth; do not overmix. Stir walnuts into batter with a fork and transfer to the prepared loaf pan.
Bake in the preheated oven until a toothpick inserted into the middle of the cake comes out clean, about 40 minutes.","milk
dates
brown sugar
vegetable oil
vanilla extract
all-purpose flour
baking soda
ground cinnamon
chopped walnuts","[0.75, 18.0, 0.5, 0.5, 1.0, 1.0, 1.0, 1.0, 0.25]","cup

cup
cup
teaspoon
cup
teaspoon
teaspoon
cup",,8.0,"cup of milk
of dates
cup of brown sugar
cup of vegetable oil
teaspoon of vanilla extract
cup of all-purpose flour
teaspoon of baking soda
teaspoon of ground cinnamon
cup of chopped walnuts",2528.5,27.95,141.05,313.5,3.0825
Apple Dapple Cake,dessert,"This Apple Dapple Cake is moist and flavorful, studded with apple chunks, raisins, coconut, and walnuts.","Preheat the oven to 325 degrees F (165 degrees C). Grease and flour a 10-inch tube pan.
Make the cake: Combine sugar, oil, and softened butter in a large mixing bowl; beat with an electric mixer until smooth and creamy. Mix in eggs, one at a time, then mix in vanilla. Gradually mix in flour, baking soda, and salt until well combined. Stir in apples, coconut, raisins, and walnuts. Pour batter into the prepared pan.
Bake in the preheated oven until a cake tester inserted in the center comes out clean, about 90 minutes. Remove from the oven and let cool from the pan for a few minutes. Run a table knife around the edges to loosen. Invert carefully onto a plate or cooling rack.
While the cake is cooling, make the glaze: Combine brown sugar, butter, and milk in a small saucepan; bring to a boil. Once boiling, stir for 1 minute to combine.
Pour glaze over warm cake.","white sugar
vegetable oil
butter
eggs
vanilla extract
all-purpose flour
baking soda
salt
diced apple without peel
flaked coconut
raisins
chopped walnuts
brown sugar
butter
milk","[1.5, 1.0, 0.5, 3.0, 0.5, 3.0, 1.0, 0.5, 2.0, 1.0, 1.0, 1.0, 1.0, 0.5, 0.25]","cup
cup
cup
large
teaspoon
cup
teaspoon
teaspoon
cup
cup
cup
cup
cup
cup
cup",,14.0,"cup of white sugar
cup of vegetable oil
cup of butter
large of eggs
teaspoon of vanilla extract
cup of all-purpose flour
teaspoon of baking soda
teaspoon of salt
cup of diced apple without peel
cup of flaked coconut
cup of raisins
cup of chopped walnuts
cup of brown sugar
cup of butter
cup of milk",8544.5,75.0,536.9,889.0,8.2025
What Is Coffee Cake and How Do You Make It?,dessert,"The sweet, crumbly companion to your morning brew comes from a European coffeehouse tradition.",,,[],,,,of ,0.0,0.0,0.0,0.0,0.0
15 Best Coffee Cakes for Your At-Home Coffee Breaks,dessert,"Amy Sherman is an author, editor, and recipe developer who has been writing about Italian cuisine, healthy cooking, and kitchen appliance recipes for 20 years.",,,[],,,,of ,0.0,0.0,0.0,0.0,0.0
15 Coffee Cake Recipes to Try if You Love Streusel,dessert,"Bailey Fink is a devout home cook and assistant editor at Allrecipes. She has written over 200 stories covering everything from cooking methods and storage techniques to grocery shopping on a budget, how-to guides, product reviews, and important food-related news.",,,[],,,,of ,0.0,0.0,0.0,0.0,0.0
Aunt Dee Dees Apple Coffee Cake,dessert,Layers of apple pie filling make this cake moist and delicious.,"Preheat oven to 350 degrees F (175 degrees C). Grease a 9x13 pan.
Mix pie filling and cinnamon, set aside.
Beat flour, white sugar, milk, 1/2 cup softened butter, baking powder, salt and eggs in mixing bowl on low speed for 30 seconds. Beat on medium speed for 2 minutes.
Pour half of the batter into prepared pan. Spoon half of the pie filling over the batter. Spread remaining cake batter over pie filling, and top with the remaining half of the pie filling.
Mix brown sugar and nuts together and sprinkle over top of cake. Drizzle with 2 tablespoons melted butter.
Bake at 350 degrees F (175 degrees C) for 45 to 55 minutes. Allow cake to cool 20 minutes.
Combine confectioners sugar, 1 tablespoon butter, 3/4 teaspoon vanilla, 2 to 3 teaspoons hot water. Beat until smooth. Drizzle over cake.","apple pie filling
ground cinnamon
all-purpose flour
white sugar
milk
butter
baking powder
salt
eggs
packed brown sugar
chopped walnuts
butter
confectioners' sugar
butter
vanilla extract
hot water","[1.0, 2.0, 3.0, 1.0, 1.5, 0.5, 3.0, 1.0, 3.0, 0.25, 0.25, 2.0, 0.75, 1.0, 0.75, 2.5]"," can
teaspoon
cup
cup
cup
cup
teaspoon
teaspoon

cup
cup
tablespoon
cup
tablespoon
teaspoon
teaspoon",,24.0," can of apple pie filling
teaspoon of ground cinnamon
cup of all-purpose flour
cup of white sugar
cup of milk
cup of butter
teaspoon of baking powder
teaspoon of salt
of eggs
cup of packed brown sugar
cup of chopped walnuts
tablespoon of butter
cup of confectioners' sugar
tablespoon of butter
teaspoon of vanilla extract
teaspoon of hot water",4652.0,67.5,176.75,699.85,3.7475
20 Recipes That Start With a Bag of Coleslaw Mix,lunch,"Mary Claire Lagroue works as an associate commerce editor at Food & Wine. A former associate editor at Allrecipes, she joined Dotdash Meredith in 2019. She has written about food since 2017, and her work can be found in Cooking Light, Southern Living, and more.",,,[],,,,of ,0.0,0.0,0.0,0.0,0.0
Broccoli Slaw,lunch,"This broccoli slaw recipe is a delicious, crunchy, savory, and sweet broccoli coleslaw that will satisfy. Tastes just as good if not better the next day!","Whisk olive oil, sugar, vinegar, and ramen noodle seasoning packets together in a small bowl.
Combine broccoli coleslaw mix, broken ramen noodles, almonds, raisins, green onions, and green bell pepper together in a salad bowl; fold in dressing. Refrigerate at least 2 hours. Stir again before.","olive oil
white sugar
cider vinegar
chicken ramen noodles
broccoli coleslaw mix
sliced almonds
golden raisins
sliced green onions
chopped green bell pepper","[1.0, 1.0, 1.0, 2.0, 10.0, 0.75, 0.75, 0.5, 0.5]","cup
cup
cup
 packages
ounces
cup
cup
cup
cup",2 hrs 10 mins,,"cup of olive oil
cup of white sugar
cup of cider vinegar
 packages of chicken ramen noodles
ounces of broccoli coleslaw mix
cup of sliced almonds
cup of golden raisins
cup of sliced green onions
cup of chopped green bell pepper",3503.75,19.125,272.725,254.75,4.725
Ramen Cabbage Salad,lunch,This salad is fast and easy to prepare but does not hold well and is best if eaten immediately!,"Toss together the cabbage, noodles and sunflower seeds or almonds.
Whisk together the ramen flavor packet, oil, sugar and vinegar. Pour over cabbage mixture and toss evenly to coat.","cabbage
ramen noodles
sunflower seeds
vegetable oil
white sugar
distilled white vinegar","[0.5, 1.0, 0.5, 0.5, 3.0, 3.0]","large head
 package
cup
cup
tablespoon
tablespoon",,5.0,"large head of cabbage
 package of ramen noodles
cup of sunflower seeds
cup of vegetable oil
tablespoon of white sugar
tablespoon of distilled white vinegar",1422.0,10.0,148.0,21.0,0.62
"10 Quick, Healthy Dinners That Start With Bagged Broccoli Slaw",dinner,"Carl Hanson is a Senior Editor at Allrecipes who has been writing about food and wine for nearly 20 years. He enjoys creating content that informs, entertains, and assists busy home cooks get nourishing meals on the table for their families.",,,[],,,,of ,0.0,0.0,0.0,0.0,0.0
28 Most Popular Types of Cookies,dessert,"Melanie Fincher is a Birmingham, Alabamabased food writer who covers everything from cooking techniques to gadget reviews. She has nearly 7 years experience writing news and lifestyle content.",,,[],,,,of ,0.0,0.0,0.0,0.0,0.0
21 Easy Weeknight Dinners for Two,dinner,"Vicky McDonald is a Seattle-based editor with over 15 years of experience in the media industry. She currently works as an editor for ParentMap.com. Prior to that, she was a senior content manager at Allrecipes. She loves baking, developing new recipes, and growing vegetables.",,,[],,,,of ,0.0,0.0,0.0,0.0,0.0
Johnnycakes,breakfast,These are though to be the original pancake. Serve them hot with maple syrup. They are also known as hoecakes. Serve hot with honey and butter.,"Cream the cornmeal, salt, and butter together. Add the milk and enough water to make a moist but firm batter.
Drop by large spoonfuls onto a hot greased griddle, and flatten slightly with the back of a spoon. When brown, turn and cook the other side.","stone ground cornmeal
salt
unsalted butter
whole milk
boiling water","[2.0, 1.0, 4.0, 1.0, 2.0]","cup
teaspoon
tablespoon
cup
tablespoon",,10.0,"cup of stone ground cornmeal
teaspoon of salt
tablespoon of unsalted butter
cup of whole milk
tablespoon of boiling water",917.0,16.4,58.0,88.4,1.71
36 Thanksgiving Corn Recipes From Traditional to New Classics,dinner,"Vanessa Greaves is a Senior Editor at Allrecipes with nearly two decades of experience helping home cooks gain confidence in the kitchen. A self-taught cook who grew up reading cookbooks for fun, Vanessa lives and breathes the challenges faced by busy everyday cooks to get dinner on the table.",,,[],,,,of ,0.0,0.0,0.0,0.0,0.0
Mouthwatering Vegan Cornbread Recipes,appetizer,"Usually laden with eggs and milk, then finished with a pat of butter, cornbread doesn't usually fall into the ""vegan-friendly"" category. But these plant-based recipes will create perfectly fluffy and light cornbread with no animal products in sight. Try varieties sweetened with agave, go spicy with jalapeo cornbread, or get extra crispy with a batch in the air fryer. Finish off with a dollop of dairy-free margarine!",,,[],,,,of ,0.0,0.0,0.0,0.0,0.0
Sous Vide Corned Beef,dinner,"Sous vide corned beef comes out tender and juicy, even if you use a flat cut. Sure, there are dozens of ways to cook corned beef, but cooking it low and slow with a sous vide immersion cooker gives great results. I found that cooking it for twenty-four hours provides a firm, sliceable texture, but 48 hours is best to provide the ultimate in tenderness and juiciness. The fat cap will also render down nicely.","Fill a large pot with water and place a sous vide immersion cooker into the water. Set the temperature to 140 degrees F (60 degrees C) according to manufacturer's instructions.
Rinse corned beef under cool water to remove excess salt, then pat dry. Sprinkle seasoning on fatty side and press into beef. Place corned beef into a large vacuum bag; seal using a vacuum sealer.
Place the sealed bag into the water and set a timer for 48 hours.
Transfer corned beef to a cutting board and slice across the grain.",corned beef brisket with spice packet,[1.0],,2 days 5 mins,12.0,of corned beef brisket with spice packet,590.0,48.0,33.0,0.0,4.99
Spaghetti with Corned Beef,dinner,"Quick and easy spaghetti using canned corned beef and bottled spaghetti sauce. Delicious! For added nutrition, add a can of mixed vegetables or cut-up fresh vegetable, such as chopped onion or green peppers and tomatoes.","Dissolve bouillon in boiling water. Cut spaghetti noodles in half and add to boiling water until done.
Over medium heat empty can of corned beef onto a skillet. Add spaghetti sauce to meat. Stir until heated; corned beef will come apart and a thick sauce will form. If desired, add Italian seasoning, garlic powder, dry onion, or any other spices.
Once noodles are done, drain and combine with corned beef sauce.","spaghetti
corned beef
spaghetti sauce
chicken bouillon
italian seasoning
garlic powder
dried minced onion","[8.0, 1.0, 1.0, 1.0, 1.0, 0.5, 0.5]","ounces
 can
cup
cube
teaspoon
teaspoon
tablespoon",,5.0,"ounces of spaghetti
 can of corned beef
cup of spaghetti sauce
cube of chicken bouillon
teaspoon of italian seasoning
teaspoon of garlic powder
tablespoon of dried minced onion",394.5,11.1,4.3,75.15,1.185
Corned Beef Special Sandwiches,lunch,"I think of this sandwich as a cousin to the reuben. It's a cold sandwich of corned beef, topped with Russian dressing and coleslaw, on Jewish rye. Yum!",Spread about 1/4 of the Russian salad dressing onto one side of each of four bread slices; top each with 4 ounces corned beef and 2 ounces coleslaw. Finish sandwich construction with remaining bread slices. Halve sandwiches diagonally before.,"russian salad dressing
jewish rye bread
thin-sliced corned beef
prepared coleslaw","[1.0, 8.0, 1.0, 0.5]","cup
slices
pound
pound",,4.0,"cup of russian salad dressing
slices of jewish rye bread
pound of thin-sliced corned beef
pound of prepared coleslaw",1570.0,57.5,71.5,150.0,7.5
14 Quick Dinners That Start with Canned Corned Beef,dinner,"Ita Mac Airt is a freelance food writer specializing in global cuisine and easy-to-follow recipes. Before freelancing, she worked on the Allrecipes team as a content producer and Regional Content Manager for the European sites for 15 years.",,,[],,,,of ,0.0,0.0,0.0,0.0,0.0
Our Top-Rated Corned Beef Recipes,dinner,"Hannah Klinger is a writer, editor, and content manager at Savory Magazine. She has a passion for helping home cooks build their confidence in the kitchen with hacks, how-tos, and guides to inspire them to try something new. She's contributed to America's Test Kitchen, Cooking Light, Food & Wine, EatingWell, and more.",,,[],,,,of ,0.0,0.0,0.0,0.0,0.0
19 Ways to Use Leftover Corned Beef,lunch,"Hannah Klinger is a writer, editor, and content manager at Savory Magazine. She has a passion for helping home cooks build their confidence in the kitchen with hacks, how-tos, and guides to inspire them to try something new. She's contributed to America's Test Kitchen, Cooking Light, Food & Wine, EatingWell, and more.",,,[],,,,of ,0.0,0.0,0.0,0.0,0.0
15 Ways to Do Corned Beef Hash,lunch,"Melanie Fincher is a Birmingham, Alabamabased food writer who covers everything from cooking techniques to gadget reviews. She has nearly 7 years experience writing news and lifestyle content.",,,[],,,,of ,0.0,0.0,0.0,0.0,0.0
8 Corned Beef Sauce Recipes for St. Patricks Day and Beyond,dinner,Corey Williams is a food writer for MyRecipes and Allrecipes. She has a decade of journalism experience.,,,[],,,,of ,0.0,0.0,0.0,0.0,0.0
30 Side Dishes to Serve With Crab Cakes,dinner,"Melanie Fincher is a Birmingham, Alabamabased food writer who covers everything from cooking techniques to gadget reviews. She has nearly 7 years experience writing news and lifestyle content.",,,[],,,,of ,0.0,0.0,0.0,0.0,0.0
15 Homemade Crackers for Easy Snacking,appetizer,"Melanie Fincher is a Birmingham, Alabamabased food writer who covers everything from cooking techniques to gadget reviews. She has nearly 7 years experience writing news and lifestyle content.",,,[],,,,of ,0.0,0.0,0.0,0.0,0.0
Apple Crisp IV,dessert,This is a very good recipe for apple crisp made with oatmeal. Serve warm or cold.,"Preheat oven to 350 degrees F (175 degrees C).
In a large bowl, combine the flour, oatmeal, cinnamon, nutmeg and brown sugar. Cut butter into mixture until crumbly.
Take half of the mixture and pat it into the bottom of a 9x13 inch baking dish.
Cover crumb mixture with apple slices, then sprinkle apple slices with remaining crumb mixture.
Bake at 350 degrees F (175 degrees C) for 45 to 50 minutes or until apples are tender.","all-purpose flour
rolled oats
ground cinnamon
ground nutmeg
packed brown sugar
butter
peeled","[2.0, 2.0, 1.0, 0.5, 1.5, 1.5, 2.0]","cup
cup
teaspoon
teaspoon
cup
cup
quarts",,18.0,"cup of all-purpose flour
cup of rolled oats
teaspoon of ground cinnamon
teaspoon of ground nutmeg
cup of packed brown sugar
cup of butter
quarts of peeled",5856.0,57.4,316.1,580.95,4.545
No-Oat Apple Crisp,dessert,"A crispy crust on top, and sweet apples underneath. Can be served with milk poured over it.","Mix together flour, 1 cup sugar, baking powder, and egg. The mixture will look like cornmeal.
Peel, core, and slice the apples. Mix together with 1/2 tablespoon cinnamon. Place apples in a greased 8 inch square pan. Spread flour mixture over the apples. Mix together 1 tablespoon cinnamon and 1/4 cup sugar; sprinkle over the top of the crisp. Drizzle with butter or margarine.
Bake at 300 degrees F (150 degrees C) for one hour. Serve warm.","apples
all-purpose flour
white sugar
baking powder
egg
ground cinnamon
white sugar
butter","[8.0, 1.0, 1.0, 1.0, 1.0, 1.5, 0.25, 1.0]","
cup
cup
tablespoon

tablespoon
cup
tablespoon",,12.0,"of apples
cup of all-purpose flour
cup of white sugar
tablespoon of baking powder
of egg
tablespoon of ground cinnamon
cup of white sugar
tablespoon of butter",2369.5,19.65,19.25,546.2,5.16
Air Fryer Pizookie,dessert,"Yes, you can have a pizookie without heating up the oven! This air fryer recipe is simple, delicious, and really good if you just need something low-effort but satisfying. Top with gelato, whipped cream, and a drizzle of melted chocolate, or anything you like.","Preheat the air fryer to 360 degrees F (175 degrees C).
Get a large piece of aluminum foil and fold it into an 8x8-inch square. You can make a little dish out of the foil by folding the edges upward.
Place 1 piece of cookie dough in the middle of your foil. Arrange remaining cookie dough pieces around it in a pattern similar to the 5-side of a die.
Bake cookie in the air fryer for 6 minutes. Open the air fryer and gently push down the top of the cookie; continue to bake until deep golden brown, 2 to 4 minutes more.
Add gelato, whipped cream, and a drizzle of melted chocolate, and enjoy!","pre-cut refrigerated chocolate chip cookie dough
vanilla gelato
whipped cream
chocolate","[5.0, 1.0, 2.0, 1.0]","pieces
scoop
tablespoon
ounce",15 mins,,"pieces of pre-cut refrigerated chocolate chip cookie dough
scoop of vanilla gelato
tablespoon of whipped cream
ounce of chocolate",615.0,9.4,36.0,64.6,1.99
Our 15 Best Deviled Eggs Taste Simply Divine,appetizer,"Deviled eggs are always popular choices for picnics, potlucks, snacks, and appetizers: They're easy to make, easy to take, and the ingredients for deviled eggs are very easy to change up to suit any occasion or appetite. Here are some of our favorite deviled egg recipes. We think they taste heavenly.",,,[],,,,of ,0.0,0.0,0.0,0.0,0.0
15 Diabetes-Friendly Breakfast Recipes to Start Your Day Off Right,breakfast,"Mary Claire Lagroue works as an associate commerce editor at Food & Wine. A former associate editor at Allrecipes, she joined Dotdash Meredith in 2019. She has written about food since 2017, and her work can be found in Cooking Light, Southern Living, and more.",,,[],,,,of ,0.0,0.0,0.0,0.0,0.0
"10 Top-Rated Diabetic-Friendly Desserts That Are Low In Sugar, But High In Flavor",dessert,"Craving something sweet after a meal is human nature, but that's a tricky craving to satisfy if you're diabetic. It's essential to stay on track when eating dessert, as part of a healthy, diabetic-friendly meal plan, so we've rounded up some of the top-rated diabetic-friendly dessert recipes. Of course, it's important to talk to your health care professional about the best foods to eat or check with trusted organizations such as the American Diabetes Association.",,,[],,,,of ,0.0,0.0,0.0,0.0,0.0
11 Diabetes-Friendly Dinner Recipes the Whole Family Will Love,dinner,"Carolyn Williams, Ph.D., RD, is a leading culinary nutrition expert and James Beard award-winning writer, covering a range of nutrition and health topics from recipes, inflammation, diet, and food trends for outlets such as EatingWell, Real Simple, CookingLight, and Allrecipes.",,,[],,,,of ,0.0,0.0,0.0,0.0,0.0
Quick and Easy Vegetable Curry,dinner,A very quick and easy curry to serve up with rice and a salad.,"In a large saucepan over medium-high, heat oil and saute onion, and garlic until golden. Stir in curry powder and tomato paste, cook 2 to 3 minutes.
Stir in tomatoes, vegetable bouillon cube, mixed vegetables, water, salt and pepper to taste. Cook approximately 30 minutes until vegetables are well done (not crunchy). Sprinkle with fresh cilantro prior to.","olive oil
onion
crushed garlic
curry powder
tomato paste
diced tomatoes
vegetable bouillon
frozen mixed vegetables
water
salt and pepper to taste
chopped fresh cilantro","[1.0, 1.0, 2.0, 2.5, 2.0, 1.0, 1.0, 1.0, 1.5, 1.0, 2.0]","tablespoon

cloves
tablespoon
tablespoon
 can
cube
 package
cup

tablespoon",,5.0,"tablespoon of olive oil
of onion
cloves of crushed garlic
tablespoon of curry powder
tablespoon of tomato paste
 can of diced tomatoes
cube of vegetable bouillon
 package of frozen mixed vegetables
cup of water
of salt and pepper to taste
tablespoon of chopped fresh cilantro",181.5,2.65,15.65,12.3,0.535
15 Tasty Snack Ideas for People With Diabetes,lunch,"Mary Claire Lagroue works as an associate commerce editor at Food & Wine. A former associate editor at Allrecipes, she joined Dotdash Meredith in 2019. She has written about food since 2017, and her work can be found in Cooking Light, Southern Living, and more.",,,[],,,,of ,0.0,0.0,0.0,0.0,0.0
Bills Divinity,dessert,My brother used to make this every year.,"In a 2-quart saucepan, combine sugar, corn syrup, salt, and water. Cook to hard-ball stage (260 degrees F, or 125 degrees C), stirring only until sugar dissolves.
Meanwhile, beat egg whites to stiff peaks. Gradually pour syrup over egg whites, beating at high speed on electric mixer. Add vanilla and beat until candy holds its shape, about 4-5 minutes. Quickly drop from a teaspoon onto wax paper; cool.","white sugar
light corn syrup
salt
water
egg whites
vanilla extract","[2.5, 0.5, 0.25, 0.5, 2.0, 1.0]","cup
cup
teaspoon
cup

teaspoon",,4.0,"cup of white sugar
cup of light corn syrup
teaspoon of salt
cup of water
of egg whites
teaspoon of vanilla extract",2082.5,8.0,0.0,525.5,1.7525
Sambousa,appetizer,"Ramadahn Recipe: Sambousa is an Arabic egg roll. Ground lamb is an excellent substitute for ground beef, it adds a great taste!","In a large skillet, brown meat. Remove the meat from the skillet.
In the same skillet used for the meat, saute onion, garlic, carrot and green onion. When the vegetables are tender, add tomato paste and seasoning salt. Stir in browned meat.
In a small bowl combine flour with water until a watery paste is formed. Place a teaspoon full of meat mixture in the front part of one of the strips. Starting from the right front corner, fold over to the left. You've started the triangle shape. Continue back and forth (making a triangular shape) until there is no more wrapper. Seal the wrappers closed with the flour and water mixture. Continue this process until all of the ingredients are used.
Using oil to taste, fry the triangular packages until crisp. Delicious!","lean ground beef
carrot
onion
garlic
tomato paste
green onion
seasoning salt
green chile peppers
egg roll wrappers
all-purpose flour
water
vegetable oil","[1.0, 0.5, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0]","pound


clove
teaspoon

pinch

 package
tablespoon
tablespoon
cup",,10.0,"pound of lean ground beef
of carrot
of onion
clove of garlic
teaspoon of tomato paste
of green onion
pinch of seasoning salt
of green chile peppers
 package of egg roll wrappers
tablespoon of all-purpose flour
tablespoon of water
cup of vegetable oil",4520.05,57.65,488.8,8.4,5.715
20 Different Types of Doughnuts You Need to Know,dessert,"Melanie Fincher is a Birmingham, Alabamabased food writer who covers everything from cooking techniques to gadget reviews. She has nearly 7 years experience writing news and lifestyle content.",,,[],,,,of ,0.0,0.0,0.0,0.0,0.0
Malasadas,dessert,"Aloha! Here in Hawaii, malasadas are the ONLY donuts we have! They are sold at fundraisers and are very popular. There are many Portuguese descendants in the islands. Onolicious!","Dissolve yeast and 1 teaspoon sugar in 1/4 cup warm water; set aside.
In small bowl, beat eggs until thick.
Put flour in large bowl, making a well in the center. Into the well add yeast, eggs, 1/2 cup sugar, melted butter, milk, 1 cup water, and salt. Beat thoroughly to form a soft, smooth dough. Cover, let dough rise until doubled.
Heat oil to 375 degrees F (190 degrees C). Drop dough by big teaspoonfuls into oil, fry until golden brown. Drain on paper towels, shake in a bag of sugar to coat, and serve hot.","active dry yeast
white sugar
warm water
eggs
all-purpose flour
white sugar
butter
evaporated milk
water
salt
vegetable oil for frying
white sugar","[1.0, 1.0, 0.25, 6.0, 6.0, 0.5, 0.25, 1.0, 1.0, 1.0, 2.0, 2.0]"," package
teaspoon
cup

cup
cup
cup
cup
cup
teaspoon
quarts
cup",,84.0," package of active dry yeast
teaspoon of white sugar
cup of warm water
of eggs
cup of all-purpose flour
cup of white sugar
cup of butter
cup of evaporated milk
cup of water
teaspoon of salt
quarts of vegetable oil for frying
cup of white sugar",7740.0,110.225,282.0,1076.95,24.415
White Chocolate Chip Oatmeal Cookies,dessert,"These cookies are absolutely the best!! They really should be named disappearing cookies because they won't stay around long. Set your timer, these cookies are best when they are lightly browned.","Preheat oven to 350 degrees F (175 degrees C). Lightly grease cookie sheets.
In a medium bowl, cream together the butter, brown sugar and white sugar until smooth. Stir in the eggs, one at a time, and then the vanilla. Sift together the flour, baking powder, baking soda and salt, stir into the creamed mixture. Finally, stir in the rolled oats, white chocolate chips and pecans. Drop by tablespoons onto the prepared cookie sheets.
Bake for 10 to 12 minutes in the preheated oven. Remove from baking sheets to cool on wire racks.","butter
light brown sugar
white sugar
eggs
vanilla extract
all-purpose flour
baking powder
baking soda
salt
rolled oats
white chocolate chips
chopped pecans","[1.0, 1.0, 1.0, 2.0, 2.0, 3.0, 1.0, 1.0, 1.0, 1.5, 2.0, 1.0]","cup
cup
cup

teaspoon
cup
teaspoon
teaspoon
teaspoon
cup
cup
cup",,36.0,"cup of butter
cup of light brown sugar
cup of white sugar
of eggs
teaspoon of vanilla extract
cup of all-purpose flour
teaspoon of baking powder
teaspoon of baking soda
teaspoon of salt
cup of rolled oats
cup of white chocolate chips
cup of chopped pecans",6776.0,73.3,307.7,857.7,4.595
Mincemeat Cookies II,dessert,This recipe was handed down to me by my Great-Grandmother.,"Preheat oven to 425 degrees F (220 degrees C).
Cream together brown sugar and shortening.
Add in egg and mincemeat and mix well. Sift together flour, salt and baking soda and stir into mincemeat mixture.
Drop onto cookie sheet and bake 7 - 10 minutes.","packed brown sugar
shortening
egg
prepared mincemeat pie filling
all-purpose flour
salt
baking soda","[1.5, 1.0, 1.0, 2.0, 3.25, 0.25, 1.5]","cup
cup

cup
cup
teaspoon
teaspoon",,18.0,"cup of packed brown sugar
cup of shortening
of egg
cup of prepared mincemeat pie filling
cup of all-purpose flour
teaspoon of salt
teaspoon of baking soda",4035.75,41.75,124.25,674.75,3.25
Meringue Cookies,dessert,"This recipe can be doubled, but if you do, don't double the chocolate chips. Best if eaten in a few days.","Preheat oven to 300 degrees F (150 degrees C). To prevent burning you can bake on an air cushion baking sheet or put parchment paper on a regular cookie sheet.
Beat egg whites, salt, cream of tartar, and vanilla until very firm. Gradually add sugar and mix. Fold in chocolate chips.
Drop by teaspoonfuls on pan. Bake 300 degrees for 25 minutes. They should only be lightly browned.","egg whites
salt
cream of tartar
vanilla extract
white sugar
semisweet chocolate chips","[2.0, 1.0, 1.0, 1.0, 0.75, 1.0]","
teaspoon
teaspoon
teaspoon
cup
cup",,12.0,"of egg whites
teaspoon of salt
teaspoon of cream of tartar
teaspoon of vanilla extract
cup of white sugar
cup of semisweet chocolate chips",830.5,10.0,12.0,173.25,1.165
Fresh Fig Cookies,dessert,A good moist cookie.,"Preheat oven to 350 degrees F (180 degrees C).
Cream sugar and shortening and add beaten egg.
Sift dry ingredients and blend with creamed mixture. Fold in figs and nuts.
Drop by spoonfuls on greased sheet. Bake for 15 to 20 minutes.","white sugar
shortening
egg
all-purpose flour
baking soda
baking powder
salt
ground cloves
chopped fresh figs
chopped walnuts","[1.0, 0.5, 1.0, 2.0, 1.0, 1.0, 0.5, 0.5, 1.0, 0.5]","cup
cup

cup
teaspoon
teaspoon
teaspoon
teaspoon
cup
cup",,18.0,"cup of white sugar
cup of shortening
of egg
cup of all-purpose flour
teaspoon of baking soda
teaspoon of baking powder
teaspoon of salt
teaspoon of ground cloves
cup of chopped fresh figs
cup of chopped walnuts",2687.0,36.5,97.5,408.75,3.22
